Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=2, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 1. World Size: 2
Rank: 0. World Size: 2
Dataset cifar10 loaded
Dataset cifar10 loaded
Rank,1,Initialization Time: 1.9356
Rank: 1, Epoch: 0, Training ...
Rank,0,Initialization Time: 1.9359
Rank: 0, Epoch: 0, Training ...
Rank, 1, Epoch, 0, Iteration, 65, It. time, 1.1478s,Elapsed time,76.9152
Rank, 0, Epoch, 0, Iteration, 66, It. time, 1.1549s,Elapsed time,78.0133
Rank, 1, Epoch, 0, Iteration, 66, It. time, 1.1476s,Elapsed time,78.0629
Rank, 0, Epoch, 0, Iteration, 67, It. time, 1.1565s,Elapsed time,79.1698
Rank, 1, Epoch, 0, Iteration, 67, It. time, 1.1567s,Elapsed time,79.2195
Rank, 0, Epoch, 0, Iteration, 68, It. time, 1.1471s,Elapsed time,80.3169
Rank, 1, Epoch, 0, Iteration, 68, It. time, 1.1511s,Elapsed time,80.3706
Rank, 1, Epoch, 0, Iteration, 69, It. time, 1.1543s,Elapsed time,81.5249
Rank, 0, Epoch, 0, Iteration, 69, It. time, 1.1631s,Elapsed time,81.4800
Rank, 1, Epoch, 0, Iteration, 70, It. time, 1.1573s,Elapsed time,82.6823
Rank, 0, Epoch, 0, Iteration, 70, It. time, 1.1618s,Elapsed time,82.6417
Rank, 0, Epoch, 0, Iteration, 71, It. time, 1.1692s,Elapsed time,83.8109
Rank, 1, Epoch, 0, Iteration, 71, It. time, 1.1737s,Elapsed time,83.8559
Rank, 0, Epoch, 0, Iteration, 72, It. time, 1.1945s,Elapsed time,85.0054
Rank, 1, Epoch, 0, Iteration, 72, It. time, 1.1935s,Elapsed time,85.0494
Rank, 0, Epoch, 0, Iteration, 73, It. time, 1.1539s,Elapsed time,86.1593
Rank, 1, Epoch, 0, Iteration, 73, It. time, 1.1607s,Elapsed time,86.2101
Rank, 0, Epoch, 0, Iteration, 74, It. time, 1.1678s,Elapsed time,87.3271
Rank, 1, Epoch, 0, Iteration, 74, It. time, 1.1666s,Elapsed time,87.3767
Rank, 1, Epoch, 0, Iteration, 75, It. time, 1.1575s,Elapsed time,88.5342
Rank, 0, Epoch, 0, Iteration, 75, It. time, 1.1606s,Elapsed time,88.4876
Rank, 1, Epoch, 0, Iteration, 76, It. time, 1.1663s,Elapsed time,89.7005
Rank, 0, Epoch, 0, Iteration, 76, It. time, 1.1611s,Elapsed time,89.6488
Rank, 1, Epoch, 0, Iteration, 77, It. time, 1.1536s,Elapsed time,90.8541
Rank, 0, Epoch, 0, Iteration, 77, It. time, 1.1507s,Elapsed time,90.7995
Rank, 1, Epoch, 0, Iteration, 78, It. time, 1.1517s,Elapsed time,92.0058
Rank, 0, Epoch, 0, Iteration, 78, It. time, 1.1553s,Elapsed time,91.9547
Rank, 1, Epoch, 0, Iteration, 79, It. time, 1.1528s,Elapsed time,93.1586
Rank, 0, Epoch, 0, Iteration, 79, It. time, 1.1591s,Elapsed time,93.1138
Rank, 0, Epoch, 0, Iteration, 80, It. time, 1.1466s,Elapsed time,94.2604
